,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm,Unnamed: 0
0,100,0.07670539892917891,0.16791658277967922,0.08263251391986352,0.11075968380406524,0.04095906220491866,0.030903966176766662,0.9590409377950814,0.13398894642003073,0.5950920245398773,0.008502617583110805,0.06895734597156399,0.011708819004357662,0.12359311955829265,_biploar_step,t1_bert,train,21.56066083908081,t1_bert_100__biploar_step_uniform,0.0
1,200,0.0942618246907612,0.20048990000671094,0.1036129541219188,0.13662055800710568,0.040508199185043815,0.03754781558284679,0.9594918008149562,0.07487432123785523,0.6184886280264124,0.010618682367876626,0.08561272850372377,0.014062125618258788,0.15040589966992773,_biploar_step,t1_bert,train,22.30137348175049,t1_bert_200__biploar_step_uniform,1.0
2,300,0.1050296176694068,0.22137775988188715,0.11453944602864112,0.1509686645029228,0.040261500551527406,0.0426816992148178,0.9597384994484726,0.11765296990372917,0.6278237530753746,0.01237786579452823,0.09502369668246444,0.01660143733383419,0.16506424392108435,_biploar_step,t1_bert,train,23.069187879562374,t1_bert_300__biploar_step_uniform,2.0
3,400,0.1222983889302508,0.2509277900812026,0.1324404056053858,0.17337368446278853,0.03980921972341397,0.052244815784175565,0.960190780276586,0.1846722595854148,0.6483962647178237,0.014675973309701528,0.108124576844956,0.019782156492650263,0.18534207624905705,_biploar_step,t1_bert,train,25.10049366950989,t1_bert_400__biploar_step_uniform,3.0
4,500,0.13018690944485667,0.264245688208845,0.14096967018231804,0.18385595087904688,0.03960505533705555,0.05717737064626535,0.9603949446629444,0.21684057200176898,0.6564692127825409,0.015922506298438718,0.11404874746106973,0.021682960250591337,0.1943354868481772,_biploar_step,t1_bert,train,25.60601305961609,t1_bert_500__biploar_step_uniform,4.0
5,600,0.1426285810700042,0.2861636802899133,0.15364735615662695,0.19994174434474363,0.03925202108564412,0.06341856251258304,0.9607479789143559,0.2269093348914136,0.6690359030435575,0.019086276049452944,0.12427217332430603,0.026740977660674355,0.20960972963713706,_biploar_step,t1_bert,train,18.166426420211792,t1_bert_600__biploar_step_uniform,
6,700,0.15155642940474573,0.2992416616334474,0.16256472881399117,0.21067763712042545,0.03912441834417012,0.07006241191866318,0.9608755816558299,0.2868605729651936,0.6685734096030508,0.020148307544717754,0.1305687203791469,0.028306023259668234,0.21847121130589933,_biploar_step,t1_bert,train,19.99051284790039,t1_bert_700__biploar_step_uniform,
7,800,0.15564004872285384,0.3090732165626466,0.16804525642703455,0.2177165248142535,0.03884227450468869,0.06895510368431648,0.9611577254953113,0.22182199725710433,0.6798657718120805,0.020413659275138992,0.13716993906567365,0.028220416706749823,0.22828169014084504,_biploar_step,t1_bert,train,12.04183554649353,t1_bert_800__biploar_step_uniform,
8,900,0.16641346555376305,0.32889738943695057,0.17994884612520004,0.2326231446220102,0.03855020600753707,0.07449164485604994,0.9614497939924629,0.37796752849675513,0.688,0.023582427895617868,0.14556533513879485,0.033647347225990845,0.24029058396200054,_biploar_step,t1_bert,train,11.941106796264648,t1_bert_900__biploar_step_uniform,
9,1000,0.1768409825464077,0.3401298570565732,0.1911325587251893,0.24473739510592885,0.038059644356981434,0.0803301791826052,0.9619403556430186,0.4238285665263809,0.7049255092733354,0.02717128083301949,0.15697359512525388,0.03959413663199765,0.2567694778226923,_biploar_step,t1_bert,train,32.576328039169304,t1_bert_1000__biploar_step_uniform,5.0
