,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm,Unnamed: 0
0,100,0.09644367775020216,0.20424803704449365,0.10448331695805138,0.138246485923187,0.040528048500384224,0.04046708274612442,0.9594719514996156,0.04506768292385715,0.6144260723699976,0.010579765267431087,0.08679756262694653,0.013744809080589105,0.15210749562483314,_relu_leaky,t1_bert,train,17.571028232574466,t1_bert_100__relu_leaky_uniform,0.0
1,200,0.11557060313997525,0.23629286625058726,0.1257373319774306,0.16413456508915802,0.040139569043007785,0.04962754177571975,0.9598604309569922,0.08973860129749359,0.6282078030461089,0.013087547799826935,0.10192958700067704,0.016996537619214217,0.17539976116272973,_relu_leaky,t1_bert,train,28.90072751045227,t1_bert_200__relu_leaky_uniform,1.0
2,300,0.12600251518333172,0.2562831353600429,0.13650180299035014,0.1781285718316333,0.03979929506574377,0.0552647473323938,0.9602007049342562,0.11760889224995626,0.6446720504234784,0.014945717637768969,0.11079891672308734,0.01999119866721381,0.18909784210070196,_relu_leaky,t1_bert,train,39.07551717758179,t1_bert_300__relu_leaky_uniform,2.0
3,400,0.1390154708838339,0.2769612777665928,0.1496687794458395,0.19432506311408626,0.039485959445013145,0.0639218844372861,0.9605140405549868,0.2791371003002145,0.6590139254798645,0.017479104914310102,0.11855111712931618,0.024095407925896064,0.20095254490158945,_relu_leaky,t1_bert,train,52.48569321632385,t1_bert_400__relu_leaky_uniform,3.0
4,500,0.14806366961719125,0.2931430776457957,0.16009793230325567,0.207093354616698,0.03918113067371412,0.0665391584457419,0.960818869326286,0.3366161493257442,0.6674283705396379,0.019590624881224872,0.12853757616790792,0.027361523056776117,0.21556104345851432,_relu_leaky,t1_bert,train,61.10476541519165,t1_bert_500__relu_leaky_uniform,4.0
5,600,0.1596612281555586,0.3150090597946446,0.17116861337821454,0.22181053117777955,0.03881533614815529,0.07328367223676263,0.9611846638518448,0.33520217224082677,0.6800399533877143,0.022081458249103257,0.13828706838185512,0.03132234555646718,0.22983655442090753,_relu_leaky,t1_bert,train,74.17666268348694,t1_bert_600__relu_leaky_uniform,
6,700,0.16200200455494496,0.31791154956043216,0.17515411693823285,0.2258665346672379,0.03863952792656888,0.07318300785182202,0.9613604720734311,0.3305068843942285,0.6866329361841031,0.023125952831474516,0.1424170616113744,0.033011141031223434,0.23590433734264166,_relu_leaky,t1_bert,train,153.05674767494202,t1_bert_700__relu_leaky_uniform,
7,800,0.17736017692238035,0.3432521307294809,0.19121025041106873,0.24560503484213264,0.038275151209248646,0.08194080934165492,0.9617248487907514,0.41566424641611777,0.6934306569343066,0.026644082457526495,0.15436696005416384,0.03849409822074893,0.25251965887695205,_relu_leaky,t1_bert,train,105.54381823539734,t1_bert_800__relu_leaky_uniform,
8,900,0.1835217051578285,0.3520887859875174,0.19794823636600095,0.25342059315302234,0.03801711010982343,0.08395409704046708,0.9619828898901766,0.4156307640843699,0.7007955215085445,0.027644646535590473,0.16103588354773188,0.03975301102876255,0.2618916538207443,_relu_leaky,t1_bert,train,108.80204558372498,t1_bert_900__relu_leaky_uniform,
9,1000,0.19225900352708086,0.3630477820280516,0.207620563497249,0.2641680957849753,0.0376895964067068,0.08908798067243809,0.9623104035932932,0.5304850324423046,0.7125197642662067,0.031593281222758535,0.16780636425186188,0.046908404919691615,0.271638764829986,_relu_leaky,t1_bert,train,114.16290926933287,t1_bert_1000__relu_leaky_uniform,5.0
10,2000,0.28096289935734275,0.4885156317409184,0.3029417853461949,0.37397286184716894,0.03416067170083112,0.13559492651499902,0.9658393282991689,0.8588976514473204,0.778140960163432,0.08004369998655353,0.25788761002031146,0.12616979447426932,0.3873887617594712,_relu_leaky,t1_bert,train,227.24303078651428,t1_bert_2000__relu_leaky_uniform,6.0
11,3000,0.3931035098844132,0.6091398667714871,0.4229497418223174,0.4992503504336278,0.029009774369996914,0.20122810549627546,0.9709902256300031,0.9785435044146108,0.8423712195489856,0.1774565862142018,0.37809749492213945,0.275468803853596,0.5219280824318325,_relu_leaky,t1_bert,train,340.1147637367248,t1_bert_3000__relu_leaky_uniform,7.0
12,4000,0.5356205996978823,0.7238484182640634,0.5700631697165051,0.6378168764280167,0.022079527699719558,0.31195892893094423,0.9779204723002805,0.9835001906181371,0.8960022682166147,0.3667975134505895,0.5349018280297901,0.5176028491026516,0.6698887122416535,_relu_leaky,t1_bert,train,488.8080353736877,t1_bert_4000__relu_leaky_uniform,8.0
13,5000,0.6877378656803169,0.8228320093882829,0.721618912602435,0.7689090425792344,0.014419109786563147,0.4712099859069861,0.9855808902134368,0.9877491435934586,0.9329459097004916,0.6210336008379893,0.7064996614759648,0.756494584914532,0.8040839915237912,_relu_leaky,t1_bert,train,622.0020515918733,t1_bert_5000__relu_leaky_uniform,9.0
14,6000,0.8245194996993155,0.8990812105204609,0.8551298075887822,0.8765549122906857,0.007841897367697224,0.6604590295953292,0.9921581026323028,0.9904298731340119,0.956531660011409,0.842850602560746,0.851455653351388,0.9098875557989805,0.9009402704396884,_relu_leaky,t1_bert,train,866.6458098888397,t1_bert_6000__relu_leaky_uniform,
15,7000,0.90717764969208,0.9424437858855018,0.9271179000329749,0.9347180253536643,0.003952849369217115,0.8176967988725589,0.9960471506307829,0.9924551267223616,0.9740236728329436,0.9388392266682631,0.9304333107650643,0.9647412172154625,0.9517296305273728,_relu_leaky,t1_bert,train,982.4691960811615,t1_bert_7000__relu_leaky_uniform,
16,8000,0.9466264778160802,0.9646477465558397,0.9562982879534633,0.9604548716488666,0.002337965785451586,0.9148379303402456,0.9976620342145485,0.9930089740123599,0.983496862323614,0.9530878563927613,0.9602911306702776,0.9724790267650512,0.9717554767654969,_relu_leaky,t1_bert,train,1104.026260137558,t1_bert_8000__relu_leaky_uniform,
