,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.059575226,0.129283489,0.063613639,0.08527025,0.041075628,0.025146931,0.958924372,0.039295479,0.588934274,0.005970633,0.051580591,0.008588074,0.094853623,_binary_sigmoid,t1_xl,train,9.658177137,t1_xl_100__binary_sigmoid_uniform
1,200,0.086900331,0.189918746,0.092601174,0.124498824,0.040331981,0.03661239,0.959668019,0.060443437,0.638971583,0.009169047,0.076785482,0.012447214,0.137096072,_binary_sigmoid,t1_xl,train,11.7256453,t1_xl_200__binary_sigmoid_uniform
2,300,0.102932968,0.2129701,0.111435295,0.146313139,0.040022581,0.042489643,0.959977419,0.106678388,0.642581232,0.011723287,0.091973462,0.015792514,0.160914962,_binary_sigmoid,t1_xl,train,14.70368123,t1_xl_300__binary_sigmoid_uniform
3,400,0.11523869,0.240084144,0.124830555,0.164256672,0.039767461,0.047018017,0.960232539,0.091168934,0.646616541,0.013402746,0.103486406,0.017893471,0.178418234,_binary_sigmoid,t1_xl,train,16.34828782,t1_xl_400__binary_sigmoid_uniform
4,500,0.125615706,0.259241417,0.135897415,0.17831828,0.039349499,0.051835437,0.960650501,0.112513177,0.669637667,0.015166855,0.112397554,0.020637527,0.192486563,_binary_sigmoid,t1_xl,train,18.29308677,t1_xl_500__binary_sigmoid_uniform
5,600,0.135095796,0.273120403,0.145356705,0.189735023,0.039137804,0.05703825,0.960862196,0.149730288,0.673837739,0.016706409,0.12020294,0.022955655,0.204012916,_binary_sigmoid,t1_xl,train,21.0437305,t1_xl_600__binary_sigmoid_uniform
6,700,0.147623815,0.29649613,0.158728175,0.206765277,0.038723913,0.063108199,0.961276087,0.192406367,0.685383842,0.019151956,0.132984259,0.026427293,0.222748815,_binary_sigmoid,t1_xl,train,23.59490919,t1_xl_700__binary_sigmoid_uniform
7,800,0.158423749,0.309808267,0.170918426,0.220299567,0.03847015,0.070334329,0.96152985,0.165335647,0.693811601,0.020568564,0.139651359,0.02858618,0.232503993,_binary_sigmoid,t1_xl,train,32.44026113,t1_xl_800__binary_sigmoid_uniform
8,900,0.165550749,0.323505797,0.178652297,0.230186686,0.038122753,0.0720686,0.961877247,0.170599034,0.703261369,0.022598281,0.149375569,0.031570744,0.246412189,_binary_sigmoid,t1_xl,train,43.00800276,t1_xl_900__binary_sigmoid_uniform
9,1000,0.176975387,0.341298134,0.190376514,0.244416954,0.037755001,0.078523943,0.962244999,0.297604222,0.715400471,0.025520422,0.158026538,0.036560632,0.258870538,_binary_sigmoid,t1_xl,train,51.54717183,t1_xl_1000__binary_sigmoid_uniform
10,2000,0.275460455,0.475064959,0.296371574,0.36502225,0.033841356,0.129395896,0.966158644,0.78000801,0.790441912,0.068446391,0.257122414,0.106628501,0.38802454,_binary_sigmoid,t1_xl,train,55.38295102,t1_xl_2000__binary_sigmoid_uniform
11,3000,0.400385707,0.588540884,0.427589641,0.495318228,0.027867756,0.222083052,0.972132244,0.981126077,0.861001131,0.228447561,0.39605828,0.355573398,0.542546556,_binary_sigmoid,t1_xl,train,85.58715177,t1_xl_3000__binary_sigmoid_uniform
