,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.05993467441380534,0.13370620978438746,0.06521450747770667,0.08766894406791219,0.04145695058684315,0.023894402158204067,0.9585430494131568,0.08602865405332784,0.5305555555555556,0.007906199839950128,0.0559060751918824,0.0120855745183861,0.1011533482405555,_biploar_step,t1_xl,train,16.48937487602234,t1_xl_100__biploar_step_uniform
1,200,0.07999290867034649,0.17603277488063618,0.08747055916091068,0.11686899754390347,0.041190974733650965,0.03179497061373928,0.958809025266349,0.08175967584787712,0.5476305609284333,0.01046605438982535,0.07366332769611032,0.01508988644248587,0.129858961128311,_biploar_step,t1_xl,train,18.762669801712036,t1_xl_200__biploar_step_uniform
2,300,0.09922818889872174,0.2112406461765745,0.10750229718341545,0.14249008610580172,0.04021799163804486,0.039310145486077655,0.9597820083619552,0.13358380233106992,0.627671799586302,0.011490114467663721,0.08881878496162351,0.015715429817586488,0.15561696914442005,_biploar_step,t1_xl,train,11.396037101745605,t1_xl_300__biploar_step_uniform
3,400,0.10768212416712829,0.22855495670567602,0.11626140329980196,0.15412331362296866,0.039938445588261234,0.043645823297042106,0.9600615544117388,0.10340316131188708,0.6404350607805502,0.012904851755531337,0.09766488877325355,0.01774171180045742,0.16948387278832858,_biploar_step,t1_xl,train,11.304285526275635,t1_xl_400__biploar_step_uniform
4,500,0.12976245952112764,0.26448437550181453,0.13935554117799176,0.18253452300705456,0.03932507270232824,0.05588206956354177,0.9606749272976718,0.14004612622938203,0.664130636481722,0.0159075208730777,0.11639781449199949,0.02158170905522392,0.19807953067493153,_biploar_step,t1_xl,train,15.640183925628662,t1_xl_500__biploar_step_uniform
5,600,0.1386390519820174,0.277518707646851,0.14912134382812095,0.1939994263486046,0.03907538108504578,0.06224106368628962,0.9609246189149542,0.16127635358158085,0.6753456634943437,0.016911271549482233,0.12231689866007545,0.023026578292773492,0.20712063221081034,_biploar_step,t1_xl,train,19.050058603286743,t1_xl_600__biploar_step_uniform
6,700,0.1422446691937709,0.28687253107235755,0.15429039139195155,0.20065908917055322,0.03886097197890106,0.05896521822911648,0.961139028021099,0.17425138304737242,0.6814509197180677,0.018785338228345456,0.12891895407831402,0.02629090799591683,0.2168193627786134,_biploar_step,t1_xl,train,19.20165753364563,t1_xl_700__biploar_step_uniform
7,800,0.15563360067221338,0.30518809347935466,0.1683614173310445,0.21700750944842956,0.03850271878888709,0.0678292706426438,0.9614972812111129,0.30196806896150974,0.6929952868519421,0.02157339875666804,0.13867568622349422,0.030842059374272354,0.2311048481070974,_biploar_step,t1_xl,train,20.299720287322998,t1_xl_800__biploar_step_uniform
8,900,0.1627925646910488,0.32091402511481504,0.17621246287103962,0.22750367201093208,0.0382394569750132,0.06927449657963194,0.9617605430249868,0.19445262352371553,0.6978284306175881,0.022426369599791433,0.14735917783270458,0.03146509976564024,0.24333395988292475,_biploar_step,t1_xl,train,21.495524644851685,t1_xl_900__biploar_step_uniform
9,1000,0.17525588630433264,0.339573038966044,0.18798630579727613,0.24200151803668477,0.03793955563034242,0.07698236824356874,0.9620604443696575,0.2754844519245497,0.7067892084198043,0.02454272899894802,0.1550669962273969,0.03478156490515246,0.25433402677761774,_biploar_step,t1_xl,train,23.93100905418396,t1_xl_1000__biploar_step_uniform
10,2000,0.2676887757281133,0.46492780110662374,0.2892625828916046,0.3566373145551326,0.033936347635868204,0.12245881106079584,0.9660636523641318,0.7635691539136833,0.7922011810221951,0.06773249303388168,0.2530571094054898,0.10605122404758922,0.38358392901158495,_biploar_step,t1_xl,train,26.13212251663208,t1_xl_2000__biploar_step_uniform
11,3000,0.3970033850350408,0.5836201227447984,0.4227333149043376,0.4903161452086224,0.027958676037339755,0.22015608440119472,0.9720413239626603,0.9823797247532938,0.8630735094123542,0.22933634943780248,0.3921555873552751,0.3576748176005595,0.5392786064089089,_biploar_step,t1_xl,train,45.53923678398132,t1_xl_3000__biploar_step_uniform
