,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.06039339127908514,0.13330966552472803,0.0658503239190062,0.08815510264743985,0.042318658070399466,0.025725021678389054,0.9576813419296005,0.06644660280627113,0.4418418951290924,0.007417017633491861,0.0539872512033303,0.011254671719709312,0.09621793942906826,_bipolar_sigmoid,t1_xl,train,11.434376955032349,t1_xl_100__bipolar_sigmoid_uniform
1,200,0.08527821116385902,0.18317435848026464,0.09225952833401901,0.12271242374523496,0.040471754314304755,0.03458907409191637,0.9595282456856953,0.09232386625637447,0.6224165341812401,0.00959190902176942,0.07639521269676076,0.013394872196699102,0.13608713284282486,_bipolar_sigmoid,t1_xl,train,15.786754846572876,t1_xl_200__bipolar_sigmoid_uniform
2,300,0.10587139494257054,0.2224328261904136,0.11417159721858905,0.15089231913715315,0.04002122378746901,0.04393486848443973,0.959978776212531,0.10223890559770704,0.6390611160318866,0.01212710988054559,0.09385976323663328,0.016432706113514533,0.16367967332123415,_bipolar_sigmoid,t1_xl,train,19.84593439102173,t1_xl_300__bipolar_sigmoid_uniform
3,400,0.11738228526572657,0.24493368018755815,0.12644382929812503,0.16678636511881223,0.03957612133926984,0.048944985065998654,0.9604238786607302,0.14201111914655146,0.6618308132407029,0.013922500594331989,0.10534018472746196,0.018856921729641166,0.18175186577633132,_bipolar_sigmoid,t1_xl,train,24.02277159690857,t1_xl_400__bipolar_sigmoid_uniform
4,500,0.12246274743659388,0.2499116806371841,0.13189505031479692,0.17266386901933603,0.03948927208108464,0.05270257250216784,0.9605107279189153,0.14210382236920424,0.663817097415507,0.014863296300557077,0.10859242877585534,0.020651248902745983,0.18665101458997146,_bipolar_sigmoid,t1_xl,train,27.964259386062622,t1_xl_500__bipolar_sigmoid_uniform
5,600,0.13623360787155145,0.2746493606595736,0.1478167636132313,0.19219424843126842,0.039023814337998314,0.058001734271124386,0.9609761856620017,0.16404459112391212,0.6808356039963669,0.01726072150517343,0.12189410693378432,0.024024532585024922,0.20676909497145063,_bipolar_sigmoid,t1_xl,train,32.38939905166626,t1_xl_600__bipolar_sigmoid_uniform
6,700,0.14688085179935428,0.29616792784246304,0.15800912627188168,0.20607485598054673,0.038756481465146986,0.061952018498891995,0.961243518534853,0.19311898934213587,0.6834954713183495,0.01921849310511661,0.1325289449720307,0.026662528504882977,0.22201035140288747,_bipolar_sigmoid,t1_xl,train,35.493186950683594,t1_xl_700__bipolar_sigmoid_uniform
7,800,0.15427113286855929,0.3064858528438835,0.1673184280524815,0.2164637728521468,0.038555642555593704,0.0649388187686675,0.9614443574444063,0.20499271353485993,0.6879626649501126,0.020909908233292956,0.1390334330688175,0.029347608098910474,0.23131865158811754,_bipolar_sigmoid,t1_xl,train,39.89727330207825,t1_xl_800__bipolar_sigmoid_uniform
8,900,0.16588186055188409,0.3245479654430419,0.17840354869983674,0.2302429046546314,0.03813360944159998,0.07235764524520667,0.9618663905584001,0.23448988380996807,0.7047177107501933,0.022762470484333285,0.1481722388448029,0.0321040632108498,0.24486066697121972,_bipolar_sigmoid,t1_xl,train,69.54002594947815,t1_xl_900__bipolar_sigmoid_uniform
9,1000,0.17769905971007668,0.341763817965764,0.19223341614273742,0.24606279600389985,0.037717004406242836,0.07833124578475768,0.9622829955937572,0.3226692479043753,0.7128855577976362,0.025974843782412504,0.16085599063353714,0.036995611206886186,0.26248474234463726,_bipolar_sigmoid,t1_xl,train,49.38997149467468,t1_xl_1000__bipolar_sigmoid_uniform
10,2000,0.2790401823633938,0.47586549152210567,0.29880501209426125,0.3671005757563226,0.03371515343142776,0.1336352249735042,0.9662848465685723,0.8363227861038267,0.7941792086115818,0.07819135036081551,0.2591388057759854,0.1250548849090419,0.3907702116181555,_bipolar_sigmoid,t1_xl,train,93.83907079696655,t1_xl_2000__bipolar_sigmoid_uniform
11,3000,0.4027571090265744,0.5897596566326704,0.4279618119110112,0.49599938499027635,0.02786368466119969,0.22526254937855283,0.9721363153388003,0.9824587443623786,0.860266629047048,0.23373735644427404,0.39664368414205803,0.3632981439123196,0.5429493600445187,_bipolar_sigmoid,t1_xl,train,142.23866963386536,t1_xl_3000__bipolar_sigmoid_uniform
12,4000,0.5248054385192935,0.692196774011016,0.5523484030142084,0.614415273554706,0.022134347660294554,0.3430966374409866,0.9778656523397055,0.9848376928035188,0.9011392053348152,0.3829645464320144,0.5273838948874724,0.5422962781707351,0.6653673347967913,_bipolar_sigmoid,t1_xl,train,249.31038737297058,t1_xl_4000__bipolar_sigmoid_uniform
13,5000,0.6402805934155238,0.7772052625410382,0.6692320726718474,0.7191886935983353,0.016827043773383146,0.4720107910203295,0.9831729562266168,0.9863458868831874,0.9277321894815368,0.5271261006273102,0.647131520749317,0.6809941947427172,0.7624339029810714,_bipolar_sigmoid,t1_xl,train,288.6202325820923,t1_xl_5000__bipolar_sigmoid_uniform
14,6000,0.7458105184099258,0.8486539135036112,0.7693239064574701,0.8070441212633219,0.011723292835343306,0.600732247808074,0.9882767071646567,0.9886342990453627,0.9492055751960665,0.6766954239624191,0.7596916872642123,0.8003771483852824,0.8439402424264321,_bipolar_sigmoid,t1_xl,train,357.0034215450287,t1_xl_6000__bipolar_sigmoid_uniform
15,7000,0.8447088635751089,0.9086324721621961,0.8644265821359377,0.8859784567523206,0.006941155556520548,0.730609885345409,0.9930588444434795,0.990735917901836,0.9666144828339462,0.8256273468956133,0.8634707948484455,0.8994975179880671,0.9121360474104613,_bipolar_sigmoid,t1_xl,train,658.2136623859406,t1_xl_7000__bipolar_sigmoid_uniform
16,8000,0.9194312176073872,0.9482968474610247,0.9339879482518909,0.9410880106040496,0.003521466015478166,0.8528759996146064,0.9964785339845218,0.9917499985952085,0.9775418122604064,0.9347885601620894,0.9371341225445557,0.9621395988533872,0.9569115815691157,_bipolar_sigmoid,t1_xl,train,526.842298746109,t1_xl_8000__bipolar_sigmoid_uniform
17,9000,0.9506621058455227,0.9655566337399847,0.960136326532288,0.962838851783426,0.0021780165529258024,0.9234030253396281,0.9978219834470742,0.9892760298527001,0.9830278118473829,0.9564661565757211,0.9644529725510602,0.9723742743772393,0.9736518098990397,_bipolar_sigmoid,t1_xl,train,645.1000912189484,t1_xl_9000__bipolar_sigmoid_uniform
18,10000,0.9598010611499391,0.9691233037123783,0.9754862465793191,0.9722943650761456,0.0020314584297382718,0.9341940456691397,0.9979685415702617,0.9727416981555314,0.9738231768555415,0.9743856288003109,0.9775920385065695,0.9733592090696199,0.9757039681895642,_bipolar_sigmoid,t1_xl,train,689.0050184726715,t1_xl_10000__bipolar_sigmoid_uniform
