,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm,Unnamed: 0
0,100,0.0972237622582277,0.19956378766525734,0.10608134205399944,0.13852662687840034,0.040933541656623856,0.042581034829877185,0.959066458343376,0.15432438301325846,0.6168958742632613,0.01068590772790199,0.08423029205646647,0.014435231163005218,0.14822245168903966,_binary_sigmoid,t2_bert,train,9.700062513351439,t2_bert_100__binary_sigmoid_uniform,0.0
1,200,0.11671575933609785,0.2382893765519093,0.1267890758368352,0.16551231461111385,0.04045006904726122,0.0502315280853634,0.9595499309527388,0.1393993031327352,0.6377583635201364,0.013500412107355643,0.10035878348925326,0.018222925093459918,0.1734268165488469,_binary_sigmoid,t2_bert,train,11.541138887405396,t2_bert_200__binary_sigmoid_uniform,1.0
2,300,0.12783940743282945,0.2583048117576002,0.1377070809757597,0.1796430980070704,0.040163671783064,0.05747936380108716,0.9598363282169359,0.20152681402584072,0.6489934223639625,0.01522829405846885,0.1091774804680951,0.020741778207493462,0.18691159586681974,_binary_sigmoid,t2_bert,train,13.712318181991575,t2_bert_300__binary_sigmoid_uniform,2.0
3,400,0.14255829177863275,0.2818770552311925,0.15451805995738727,0.19961312216798607,0.039838993696424574,0.06442520636198913,0.9601610063035756,0.3136347000234985,0.6588061901252763,0.01768252673889809,0.11990745397847301,0.02437898088911561,0.20288786133726702,_binary_sigmoid,t2_bert,train,15.577348232269287,t2_bert_400__binary_sigmoid_uniform,3.0
4,500,0.14763773606800626,0.29244681564995634,0.15913435509557972,0.20611282499391825,0.03960505533705555,0.06835111737467284,0.9603949446629444,0.36219490207781857,0.6703336339044184,0.01902580500321754,0.12463534855648326,0.026689633747119287,0.2101900022619317,_binary_sigmoid,t2_bert,train,18.017892599105835,t2_bert_500__binary_sigmoid_uniform,4.0
5,600,0.1606592044149533,0.3153479632239448,0.17350529927483915,0.22384853260549784,0.03925202108564412,0.07499496678075297,0.9607479789143559,0.38051351732567085,0.6804523970290345,0.02173736469565759,0.13516413506354155,0.030769869022788648,0.22552941505580887,_binary_sigmoid,t2_bert,train,39.470462799072266,t2_bert_600__binary_sigmoid_uniform,
6,700,0.16677653704674417,0.32522146164686927,0.18000818409910804,0.2317461979281598,0.03916128135837372,0.07741091201932757,0.9608387186416263,0.41612732476022846,0.6789661898569571,0.025069831655293938,0.14005968547765146,0.03660122044453612,0.23221681723419038,_binary_sigmoid,t2_bert,train,23.344579935073853,t2_bert_700__binary_sigmoid_uniform,
7,800,0.17844114109316095,0.3454046708274612,0.19104481137508125,0.24601671685979906,0.038657959433670674,0.08496074088987317,0.9613420405663293,0.39819862799397837,0.6990502880274015,0.02545681310584898,0.15055494081748985,0.03656295831205856,0.2477514760249407,_binary_sigmoid,t2_bert,train,45.995014667510986,t2_bert_800__binary_sigmoid_uniform,
8,900,0.18675418632998664,0.35651130796590824,0.20274030516665859,0.2584854819372315,0.03839850052600686,0.08626937789410107,0.9616014994739931,0.4399767240958408,0.7010566480774876,0.02984815539779958,0.16017838580961002,0.04386381538462438,0.2607746267434561,_binary_sigmoid,t2_bert,train,44.051209926605225,t2_bert_900__binary_sigmoid_uniform,
9,1000,0.19967532843155075,0.3750486544527212,0.21562260371929687,0.27382056017008216,0.03799584298624442,0.09563116569357763,0.9620041570137556,0.5773478312535786,0.7139824511746391,0.03321872695851146,0.16916473862455153,0.049534278331970036,0.2735232725202635,_binary_sigmoid,t2_bert,train,28.184942483901978,t2_bert_1000__binary_sigmoid_uniform,5.0
