,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm,Unnamed: 0
0,100,0.09004519350577125,0.19017180055029864,0.10021789723092113,0.1312623561330875,0.04100726768503107,0.03412522649486612,0.9589927323149692,0.16847491061497127,0.6134072580645161,0.010594858289143931,0.08161486101331188,0.014464719632986294,0.1440620283507443,_bipolar_sigmoid,t2_bert,train,11.76277208328247,t2_bert_100__bipolar_sigmoid_uniform,0.0
1,200,0.11388875218749707,0.23439702033420576,0.12305581211457285,0.16138585612463954,0.040519541650952624,0.04982887054560097,0.9594804583490474,0.20325434249760752,0.6348655680832611,0.01318447654092018,0.09817925761995774,0.01785798814314709,0.17005953245244662,_bipolar_sigmoid,t2_bert,train,15.845421552658081,t2_bert_200__bipolar_sigmoid_uniform,1.0
2,300,0.13432665466650315,0.2701496543856117,0.14552114687317547,0.18915202806901574,0.040080021096986586,0.06019730219448359,0.9599199789030134,0.3486482591840453,0.6500579374275782,0.017377380449350294,0.11286590886228748,0.024490907273174743,0.19233736178966312,_bipolar_sigmoid,t2_bert,train,19.260250091552734,t2_bert_300__bipolar_sigmoid_uniform,2.0
3,400,0.1454943109191012,0.2866753909133615,0.15658477711576815,0.20254020292567526,0.03981914438108417,0.0678477954499698,0.960180855618916,0.2853072662072855,0.6597426470588236,0.017954597951601408,0.12034335915233207,0.024818107475430774,0.20355613532597908,_bipolar_sigmoid,t2_bert,train,23.9526481628418,t2_bert_400__bipolar_sigmoid_uniform,3.0
4,500,0.15160666147489682,0.2993591034158782,0.1627955187554592,0.21090050038140468,0.03954834300751155,0.06986108314878196,0.9604516569924884,0.3762718092429812,0.6700758243695997,0.01975613699689853,0.12741843543573753,0.02764190574618146,0.214120696455739,_bipolar_sigmoid,t2_bert,train,28.487478494644165,t2_bert_500__bipolar_sigmoid_uniform,4.0
5,600,0.16253264955222765,0.31792329373867506,0.17479600835524822,0.2255715271251146,0.03924776766092832,0.07680692570968391,0.9607522323390717,0.4462979135094202,0.6794033852857382,0.02274407036316663,0.13593535190959996,0.03268537799077875,0.22654372729812794,_bipolar_sigmoid,t2_bert,train,35.740373611450195,t2_bert_600__bipolar_sigmoid_uniform,
6,700,0.169219710833983,0.3301808603449433,0.18236213766424944,0.23495584855202692,0.0390067402603663,0.07912220656331789,0.9609932597396337,0.3310157800609177,0.6859810075647835,0.02321218066014245,0.1429098346913456,0.032984982750067116,0.23654123654123652,_bipolar_sigmoid,t2_bert,train,39.71467161178589,t2_bert_700__bipolar_sigmoid_uniform,
7,800,0.181714842836002,0.34918797396147916,0.19402000884965723,0.24944204040445897,0.03864236354304608,0.08657137104892289,0.9613576364569539,0.4737718758782097,0.6971744471744472,0.02704502175847911,0.1522314991784864,0.039309442000844026,0.2498967937250585,_bipolar_sigmoid,t2_bert,train,44.87658143043518,t2_bert_800__bipolar_sigmoid_uniform,
8,900,0.18665432518849365,0.3561338165223809,0.20193664314345094,0.25773257183853904,0.038524685459242265,0.08626937789410107,0.9614753145407577,0.39295333282246625,0.6953574060427413,0.02729457437483597,0.1582000469436341,0.039099021959365425,0.25775786713286714,_bipolar_sigmoid,t2_bert,train,49.14989423751831,t2_bert_900__bipolar_sigmoid_uniform,
9,1000,0.19686568960843184,0.3726679417488759,0.21195406735876096,0.2702207060198077,0.03807949367232183,0.09381920676464668,0.961920506327678,0.5591486806662539,0.7097778406678931,0.03188728472842532,0.16819233477517356,0.047260245664407806,0.2719436161561399,_bipolar_sigmoid,t2_bert,train,53.001959800720215,t2_bert_1000__bipolar_sigmoid_uniform,5.0
10,2000,0.2912412181823159,0.5058686900643818,0.3140268372005704,0.38750386969333583,0.034373342936621136,0.14183611838131668,0.9656266570633788,0.8461587342202348,0.7809447074227012,0.07557207765645274,0.2600006706233444,0.11804243746857455,0.3901187361642182,_bipolar_sigmoid,t2_bert,train,93.66355299949646,t2_bert_2000__bipolar_sigmoid_uniform,6.0
11,3000,0.3980574315338616,0.6227177945871332,0.4285215018494283,0.5076826284355809,0.029429445608622543,0.2021340849607409,0.9705705543913774,0.9654568319489741,0.8408783275680554,0.16202360018614448,0.3749455118532676,0.2512801816629219,0.5186336123930335,_bipolar_sigmoid,t2_bert,train,139.85973191261292,t2_bert_3000__bipolar_sigmoid_uniform,7.0
12,4000,0.5393151809096635,0.7360778384535203,0.5733897882596646,0.6446276445839009,0.022537479760787398,0.3129655727803503,0.9774625202392128,0.984116798132558,0.8952267438560645,0.3492250000333653,0.5288871005599705,0.4978111400123527,0.6649382403777243,_bipolar_sigmoid,t2_bert,train,195.2330620288849,t2_bert_4000__bipolar_sigmoid_uniform,8.0
13,5000,0.6974509113892746,0.8370740828864471,0.7316604441815586,0.7808255440673658,0.014387918005313943,0.4701026776726394,0.985612081994686,0.9872464228897968,0.9334273251971626,0.6359079938697902,0.7103913087214566,0.7692039553892781,0.8067783701447067,_bipolar_sigmoid,t2_bert,train,273.7182943820953,t2_bert_5000__bipolar_sigmoid_uniform,9.0
14,6000,0.8410239823055041,0.9100553261918285,0.8689220622019895,0.88901315543585,0.007169856262600771,0.6789812764244011,0.9928301437373992,0.9915564701414932,0.9609514592019059,0.8743223228554446,0.8656070817825169,0.9286991734380899,0.9107908338772558,_bipolar_sigmoid,t2_bert,train,368.68029403686523,t2_bert_6000__bipolar_sigmoid_uniform,
15,7000,0.9161462477324902,0.947727741187073,0.933487587298009,0.9405537677056285,0.0036508562143952906,0.836420374471512,0.9963491437856047,0.9933173776791259,0.9760972882303607,0.9438747929477633,0.9365925627871107,0.9677315397204594,0.9559369599069114,_bipolar_sigmoid,t2_bert,train,465.8408417701721,t2_bert_7000__bipolar_sigmoid_uniform,
16,8000,0.947861375979456,0.9659367300372942,0.9573806961666844,0.9616396819959957,0.002346472634883187,0.9155425810348299,0.9976535273651168,0.9933257722750592,0.9836538461538461,0.9529602765535483,0.9604667538477014,0.9724827588043607,0.9719220263644539,_bipolar_sigmoid,t2_bert,train,701.2489957809448,t2_bert_8000__bipolar_sigmoid_uniform,
17,9000,0.9555792784286368,0.9698059973603559,0.9643152417790035,0.9670528257467683,0.0020799246860263654,0.9343668210187236,0.9979200753139736,0.989390454567409,0.9831652126499455,0.9580652821058059,0.9673741742950072,0.9732420883125941,0.9752057734886,_bipolar_sigmoid,t2_bert,train,563.9821865558624,t2_bert_9000__bipolar_sigmoid_uniform,
18,10000,0.9527110586665491,0.967631367022347,0.9591438377853724,0.9633689084346908,0.0020799246860263654,0.9337628347090801,0.9979200753139736,0.9931624256091522,0.9872834753918064,0.9544194014222148,0.9632163095597358,0.9731112091906085,0.9751014104109031,_bipolar_sigmoid,t2_bert,train,758.8043653964996,t2_bert_10000__bipolar_sigmoid_uniform,10.0
