,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm,Unnamed: 0
0,100,0.11279465744380172,0.22911214012482384,0.12367241635357168,0.16063544429508095,0.04054222658277023,0.047916247231729416,0.9594577734172298,0.06706718028827853,0.6321566939302626,0.012618026453141222,0.09848103812493712,0.016508925935986792,0.17041399518407846,_identity,t2_bert,train,7.996750593185425,t2_bert_100__identity_uniform,0.0
1,200,0.13301038859831554,0.26494027246493523,0.14367072768879344,0.186310019675358,0.040075767672270786,0.06200926112341454,0.9599242323277292,0.08175247721744551,0.6526769954893117,0.015002648980466259,0.11159172450793013,0.019874041205587625,0.19059618578546475,_identity,t2_bert,train,8.076747417449951,t2_bert_200__identity_uniform,1.0
2,300,0.14390088929534706,0.2849976511643512,0.15582691416303676,0.20148743068196376,0.03972982246205236,0.06462653513187035,0.9602701775379476,0.136683837831335,0.6659907834101383,0.01698108586714286,0.12114810716561045,0.02282019002187383,0.20500453926463916,_identity,t2_bert,train,8.602793216705322,t2_bert_300__identity_uniform,2.0
3,400,0.15531398587932116,0.30427488088047777,0.1676724844820316,0.21620430152636144,0.03938529506007254,0.07096839138312865,0.9606147049399276,0.15147913315569367,0.6792353560154332,0.018711755014339238,0.12986621064279247,0.02531918662326684,0.21804363124560167,_identity,t2_bert,train,8.785379409790039,t2_bert_400__identity_uniform,3.0
4,500,0.16146395709007536,0.31788973894369504,0.17495721966603384,0.2256972632755629,0.039209486838486116,0.0727803503120596,0.960790513161514,0.1910605159065711,0.6802460924509478,0.020464563318690888,0.1371760050967374,0.02786910545468791,0.22831152161174206,_identity,t2_bert,train,9.242328882217409,t2_bert_500__identity_uniform,4.0
5,600,0.17328205473310423,0.33806120394604383,0.1871191552095242,0.240899057966333,0.03879690464105349,0.08022951479766459,0.9612030953589465,0.23270493260779435,0.6952517071621407,0.02315417452369522,0.14679945008885759,0.03226029076129391,0.2424141749723145,_identity,t2_bert,train,9.00192928314209,t2_bert_600__identity_uniform,
6,700,0.18112396995466554,0.3493054157439096,0.19561264130613124,0.25078469730331476,0.03858848682997927,0.08405476142540769,0.9614115131700207,0.2774281773807743,0.6989312977099237,0.025179436374209635,0.15350568353284377,0.03548764383495712,0.25172518076595274,_identity,t2_bert,train,9.17051386833191,t2_bert_700__identity_uniform,
7,800,0.18616578036729098,0.35951110663713837,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305334,0.037344133991124004,0.25902393602453855,_identity,t2_bert,train,9.510687112808228,t2_bert_800__identity_uniform,
8,900,0.18616578036729098,0.35951110663713837,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305334,0.037344133991124004,0.25902393602453855,_identity,t2_bert,train,9.994277000427246,t2_bert_900__identity_uniform,
9,1000,0.18616578036729095,0.3595111066371384,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305336,0.037344133991124,0.2590239360245385,_identity,t2_bert,train,10.94692611694336,t2_bert_1000__identity_uniform,5.0
10,2000,0.18616578036729095,0.3595111066371384,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305336,0.037344133991124,0.2590239360245385,_identity,t2_bert,train,16.790140867233276,t2_bert_2000__identity_uniform,6.0
11,3000,0.18616578036729095,0.3595111066371384,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305336,0.037344133991124,0.2590239360245385,_identity,t2_bert,train,28.37550711631775,t2_bert_3000__identity_uniform,7.0
12,4000,0.18616578036729095,0.3595111066371384,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305336,0.037344133991124,0.2590239360245385,_identity,t2_bert,train,45.75285243988037,t2_bert_4000__identity_uniform,8.0
13,5000,0.18616578036729095,0.3595111066371384,0.20083695605870008,0.25770809656743665,0.03836021970356465,0.08596738473927924,0.9616397802964354,0.2883048852283344,0.7067702884471678,0.02643533039026571,0.15856888978305336,0.037344133991124,0.2590239360245385,_identity,t2_bert,train,70.78587603569032,t2_bert_5000__identity_uniform,9.0
