,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.08230335163678276,0.17757009345794392,0.08935847334649542,0.11888867986933266,0.041071557003646314,0.032084015801136914,0.9589284429963537,0.027543364158266945,0.6239316239316239,0.008929720054511857,0.07488619606334551,0.011892615272572406,0.1337225943099204,_binary_sigmoid,t2_xl,train,9.538493156433105,t2_xl_100__binary_sigmoid_uniform
1,200,0.10417920972375377,0.21851816167260815,0.11305342248682856,0.14901292651628079,0.0405816729066954,0.04200790056845553,0.9594183270933045,0.056790306718527785,0.6435731788817108,0.011474039396334353,0.0926139642238892,0.01503277546910084,0.1619258470420088,_binary_sigmoid,t2_xl,train,11.81640625,t2_xl_200__binary_sigmoid_uniform
2,300,0.12326179995106194,0.25360503580948707,0.13361517087385172,0.17501917311802268,0.04015285469440596,0.05125734656517969,0.959847145305594,0.07949081927128653,0.6560980354016728,0.013820719474889324,0.10812976854523305,0.01780331512376438,0.18566120820145862,_binary_sigmoid,t2_xl,train,14.029485940933228,t2_xl_300__binary_sigmoid_uniform
3,400,0.13415103712864687,0.2717988245495712,0.14545113638278778,0.1894952742950642,0.039819027858256584,0.05771268908372676,0.9601809721417435,0.08520262212319882,0.6718662952646239,0.015300924590816391,0.11598384304673975,0.020082290080917917,0.19781842040515052,_binary_sigmoid,t2_xl,train,16.302409410476685,t2_xl_400__binary_sigmoid_uniform
4,500,0.1506420258799691,0.3005588206956353,0.16220787428306788,0.21070231687398502,0.03937121137073913,0.06657674149725407,0.9606287886292608,0.1081256824823841,0.6862510674637062,0.017625545311153346,0.12880682182470987,0.023178729971746727,0.2169019406731625,_binary_sigmoid,t2_xl,train,18.648411989212036,t2_xl_500__binary_sigmoid_uniform
5,600,0.15606285150818414,0.3117593217072936,0.1686101470042222,0.21885564544307695,0.03914594610732126,0.06773292224684459,0.9608540538926787,0.11365734383897179,0.6920936323457194,0.018864690419201028,0.1355388856831442,0.02503058375494314,0.2266841808969788,_binary_sigmoid,t2_xl,train,21.110520124435425,t2_xl_600__binary_sigmoid_uniform
6,700,0.16114241705376803,0.318824870732569,0.17479303830627754,0.22579556706710263,0.03908623724231893,0.0716832064746122,0.960913762757681,0.12234216895113427,0.6886539371942559,0.01981078839053386,0.13989869846765404,0.02636870410815733,0.23255442167807946,_binary_sigmoid,t2_xl,train,23.328622579574585,t2_xl_700__binary_sigmoid_uniform
7,800,0.1752872261107045,0.34571410219353177,0.18952624473839266,0.24483167577865173,0.038430796746952475,0.077560458618364,0.9615692032530475,0.13554526405348416,0.7128888888888889,0.02344295211602188,0.15426043469898057,0.031815380816711036,0.25363693864642634,_binary_sigmoid,t2_xl,train,25.58363151550293,t2_xl_800__binary_sigmoid_uniform
8,900,0.17956049231457374,0.3475286636477502,0.19471811966594088,0.2495916250603549,0.038361588744336136,0.07784950380576164,0.9616384112556638,0.15748801510215488,0.711557934326631,0.023397938467038706,0.1576905815220876,0.03150104702116438,0.25816779069462303,_binary_sigmoid,t2_xl,train,28.06779932975769,t2_xl_900__binary_sigmoid_uniform
9,1000,0.19151105530866713,0.3678629925811735,0.20815005651694915,0.26586447239747046,0.03807390057659765,0.08449754311590713,0.9619260994234023,0.15648122760024935,0.7140128257606768,0.0252460677360098,0.16775661986279414,0.033833409534455496,0.27168185239986503,_binary_sigmoid,t2_xl,train,30.503403425216675,t2_xl_1000__binary_sigmoid_uniform
