,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.08741151016157184,0.1905912354875512,0.09459283548010264,0.1264345888692238,0.040759151243276046,0.03472921280450977,0.959240848756724,0.061126436764627486,0.600763358778626,0.009626766114111137,0.07992552471225457,0.012638440244120397,0.14108156558111742,_binary_sigmoid,t1_bert,train,8.632928609848022,t1_bert_100__binary_sigmoid_uniform
1,200,0.10709679044064283,0.2222166297563922,0.11627771281111578,0.15266926626116134,0.04026008274328881,0.045802295147976645,0.9597399172567112,0.18642081517781073,0.6267168808152415,0.01276597012384191,0.09576844955991876,0.017145514743150878,0.1661478827744171,_binary_sigmoid,t1_bert,train,10.730136394500732,t1_bert_200__binary_sigmoid_uniform
2,300,0.12175664238822137,0.24503053486343196,0.1318857963919473,0.17147597252246854,0.03993398684841078,0.054560096637809544,0.9600660131515892,0.11955659549024546,0.6427680798004988,0.01402340845796093,0.10470548408937035,0.018804407621939148,0.18007685142058685,_binary_sigmoid,t1_bert,train,12.7598876953125,t1_bert_300__binary_sigmoid_uniform
3,400,0.13045110841338306,0.264059459096705,0.14074376941321112,0.18361871153689927,0.03969579506432596,0.057781356955909,0.960304204935674,0.19797199465735646,0.6494186046511627,0.015607734419776573,0.11343940419769803,0.02094582146797118,0.19314121037463977,_binary_sigmoid,t1_bert,train,14.852728128433228,t1_bert_400__binary_sigmoid_uniform
4,500,0.1366374678677378,0.27470471780417427,0.14791304105190758,0.19228917550319252,0.03951006218506935,0.060700624119186634,0.9604899378149306,0.23388538818586008,0.6549935149156939,0.01695280931859969,0.11966824644549763,0.023066422925997032,0.2023642556601883,_binary_sigmoid,t1_bert,train,17.01075553894043,t1_bert_500__binary_sigmoid_uniform
5,1000,0.1817497859971025,0.35128754541881163,0.1953494926357345,0.25107645106173637,0.03800434983567603,0.08244413126635797,0.961995650164324,0.41575971196357975,0.7044401255793094,0.027843568768681375,0.15951252538930263,0.04050701001356207,0.2601231057992216,_binary_sigmoid,t1_bert,train,27.766756057739258,t1_bert_1000__binary_sigmoid_uniform
6,2000,0.26856206962270274,0.4773026978055168,0.29158045156624174,0.3620111489597171,0.03443005526616514,0.12240789208777934,0.9655699447338348,0.734257380158233,0.7743787847149718,0.06834294945492614,0.2510832769126608,0.1057290561145031,0.37921161613579424,_binary_sigmoid,t1_bert,train,51.647942781448364,t1_bert_2000__binary_sigmoid_uniform
7,3000,0.38383327143423335,0.6020903039425292,0.41256813843925644,0.48962934815148096,0.029300425058909934,0.19146366015703645,0.97069957494109,0.9367576114492886,0.8420444033302498,0.15501503122681154,0.3697698036560596,0.24082637109059496,0.5138784343244261,_binary_sigmoid,t1_bert,train,78.73244047164917,t1_bert_3000__binary_sigmoid_uniform
8,4000,0.5305917347846135,0.723549978922943,0.5641432896543686,0.6339799629300169,0.02214474687869516,0.30340245621099254,0.9778552531213048,0.9832881546806113,0.8970848308517314,0.3487198991528947,0.5323290453622207,0.4960518525655766,0.6681680086681255,_binary_sigmoid,t1_bert,train,114.881991147995,t1_bert_4000__binary_sigmoid_uniform
9,5000,0.692010091640878,0.8257867353548877,0.7263913295514395,0.7729065861481295,0.014159650878899328,0.46899536943829273,0.9858403491211006,0.9877904021104851,0.9351493301286331,0.631352152461911,0.7112389979688558,0.7657231018684484,0.8079681581325592,_binary_sigmoid,t1_bert,train,173.6157546043396,t1_bert_5000__binary_sigmoid_uniform
10,10000,0.9569705184085088,0.9694638183439268,0.9673748471513723,0.9684182062210264,0.0020260479729595614,0.9340648278639018,0.9979739520270404,0.9849583076602121,0.9804806344648412,0.9629576264484327,0.9709546377792824,0.9735025995529615,0.9756943853860154,_binary_sigmoid,t1_bert,train,534.8412339687347,t1_bert_10000__binary_sigmoid_uniform
