,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.10091747447612372,0.20834172203207837,0.11103848308968285,0.1448677683071479,0.040399027950671615,0.04107106905576807,0.9596009720493284,0.056808536672977646,0.6217411545623837,0.01133507083233347,0.09041976980365606,0.01492576923943836,0.1578791819363991,_identity,t1_bert,train,9.887881755828857,t1_bert_100__identity_uniform
1,200,0.11789329848466151,0.24073887658546403,0.12828617719845797,0.16737871785954117,0.03997226767085298,0.050533521240185224,0.9600277323291471,0.06634694130292385,0.6409290646578782,0.013550601861826366,0.10368991198375084,0.017871294612067143,0.1785017045951222,_identity,t1_bert,train,8.496354818344116,t1_bert_200__identity_uniform
2,300,0.1330160158260349,0.26582947453191064,0.1437992232344685,0.1866376655686214,0.03963482931006616,0.059995973424602375,0.9603651706899339,0.08792025172238227,0.6525505293551492,0.015522340708556806,0.11475964793500339,0.020586775534707818,0.19519216928170435,_identity,t1_bert,train,9.1390061378479,t1_bert_300__identity_uniform
3,400,0.1447734445213718,0.28639856385477486,0.1562509747199609,0.20219180575583073,0.039263363551552924,0.06553251459633581,0.9607366364484471,0.1183733209949575,0.6673916983868045,0.017510930361848098,0.12464454976303317,0.02362806420231587,0.21005790569643723,_identity,t1_bert,train,18.07129216194153,t1_bert_400__identity_uniform
4,500,0.1531898813809749,0.30259714113146763,0.16474026615714962,0.2133359443987514,0.03910173341235251,0.07096839138312865,0.9608982665876475,0.1331865533374467,0.6697835497835498,0.018918807517432284,0.13094109681787408,0.025625271255591383,0.2190570579074048,_identity,t1_bert,train,25.782160997390747,t1_bert_500__identity_uniform
5,1000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,30.511510372161865,t1_bert_1000__identity_uniform
6,2000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,42.78213572502136,t1_bert_2000__identity_uniform
7,3000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,48.67832684516907,t1_bert_3000__identity_uniform
8,4000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,76.53632616996765,t1_bert_4000__identity_uniform
9,5000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,129.66377472877502,t1_bert_5000__identity_uniform
10,10000,0.17494195292385575,0.3374622508556471,0.18812527277493268,0.2415779490157124,0.03834745942941725,0.08063217233742702,0.9616525405705827,0.23458566884703883,0.6926286509040334,0.024335018691096656,0.15172647257955316,0.03429795004617421,0.24892393990725056,_identity,t1_bert,train,467.8057770729065,t1_bert_10000__identity_uniform
