,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.09644367775020216,0.20424803704449365,0.10448331695805138,0.138246485923187,0.040528048500384224,0.04046708274612442,0.9594719514996157,0.04506768292385715,0.6144260723699976,0.010579765267431089,0.08679756262694652,0.013744809080589103,0.15210749562483317,_relu_leaky,t1_bert,train,17.571028232574463,t1_bert_100__relu_leaky_uniform
1,200,0.11557060313997523,0.23629286625058724,0.1257373319774306,0.16413456508915802,0.04013956904300779,0.04962754177571975,0.9598604309569922,0.08973860129749359,0.6282078030461089,0.013087547799826935,0.10192958700067704,0.01699653761921422,0.17539976116272973,_relu_leaky,t1_bert,train,28.90072751045227,t1_bert_200__relu_leaky_uniform
2,300,0.12600251518333172,0.25628313536004294,0.13650180299035017,0.1781285718316333,0.03979929506574377,0.055264747332393796,0.9602007049342562,0.11760889224995623,0.6446720504234784,0.014945717637768967,0.11079891672308734,0.01999119866721381,0.18909784210070193,_relu_leaky,t1_bert,train,39.07551717758179,t1_bert_300__relu_leaky_uniform
3,400,0.1390154708838339,0.2769612777665928,0.1496687794458395,0.19432506311408626,0.039485959445013145,0.0639218844372861,0.9605140405549869,0.2791371003002145,0.6590139254798645,0.017479104914310102,0.11855111712931618,0.024095407925896064,0.20095254490158945,_relu_leaky,t1_bert,train,52.48569321632385,t1_bert_400__relu_leaky_uniform
4,500,0.14806366961719125,0.29314307764579567,0.16009793230325567,0.20709335461669798,0.03918113067371412,0.0665391584457419,0.9608188693262859,0.3366161493257442,0.6674283705396379,0.019590624881224872,0.12853757616790792,0.02736152305677612,0.21556104345851432,_relu_leaky,t1_bert,train,61.10476541519165,t1_bert_500__relu_leaky_uniform
5,1000,0.19225900352708086,0.3630477820280516,0.207620563497249,0.26416809578497535,0.0376895964067068,0.08908798067243809,0.9623104035932932,0.5304850324423046,0.7125197642662067,0.03159328122275853,0.16780636425186188,0.04690840491969161,0.271638764829986,_relu_leaky,t1_bert,train,114.16290926933289,t1_bert_1000__relu_leaky_uniform
6,2000,0.28096289935734275,0.4885156317409184,0.3029417853461949,0.37397286184716894,0.03416067170083112,0.135594926514999,0.9658393282991689,0.8588976514473204,0.778140960163432,0.08004369998655352,0.25788761002031146,0.12616979447426932,0.3873887617594712,_relu_leaky,t1_bert,train,227.24303078651428,t1_bert_2000__relu_leaky_uniform
7,3000,0.39310350988441317,0.6091398667714871,0.4229497418223174,0.49925035043362775,0.02900977436999691,0.20122810549627543,0.9709902256300031,0.9785435044146107,0.8423712195489856,0.1774565862142018,0.37809749492213945,0.27546880385359596,0.5219280824318325,_relu_leaky,t1_bert,train,340.11476373672485,t1_bert_3000__relu_leaky_uniform
8,4000,0.5356205996978823,0.7238484182640634,0.570063169716505,0.6378168764280167,0.022079527699719558,0.31195892893094423,0.9779204723002805,0.983500190618137,0.8960022682166147,0.36679751345058953,0.5349018280297901,0.5176028491026516,0.6698887122416535,_relu_leaky,t1_bert,train,488.80803537368774,t1_bert_4000__relu_leaky_uniform
9,5000,0.6877378656803169,0.822832009388283,0.721618912602435,0.7689090425792344,0.014419109786563147,0.4712099859069861,0.9855808902134369,0.9877491435934586,0.9329459097004917,0.6210336008379893,0.7064996614759648,0.756494584914532,0.8040839915237912,_relu_leaky,t1_bert,train,622.0020515918732,t1_bert_5000__relu_leaky_uniform
10,10000,0.959215055407425,0.9691048292467656,0.9724338571077042,0.9707664891453847,0.0020260479729595614,0.9350714717133078,0.9979739520270404,0.9638878740309169,0.9745433674330666,0.9853691010053168,0.9771496276235613,0.9742719283784517,0.9758447573488396,_relu_leaky,t1_bert,train,1363.0193922519684,t1_bert_10000__relu_leaky_uniform
