,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.09243372082973941,0.19243674921146234,0.10241619607545205,0.133684537695126,0.041038459466280264,0.03754781558284679,0.9589615405337197,0.1515904791351716,0.6105793450881613,0.010536372054852743,0.08127954934111256,0.014487847381033484,0.14346166365815405,_biploar_step,t2_bert,train,7.963557481765747,t2_bert_100__biploar_step_uniform
1,200,0.10396795195405836,0.21223407824978185,0.11464914677864271,0.14887552572679935,0.040834295079921853,0.043185021139520836,0.9591657049200781,0.2127224349882024,0.6153498871331828,0.012429961944944834,0.0914059618415317,0.01713196683350471,0.15916853998189937,_biploar_step,t2_bert,train,8.21886396408081,t2_bert_200__biploar_step_uniform
2,300,0.12398559840550434,0.252483054828535,0.1334584838070187,0.1746171495481337,0.04029269233277661,0.05566740487215623,0.9597073076672233,0.09669140071040662,0.6457036114570361,0.013961094569720896,0.10431546122120511,0.018781835291872842,0.1796137524898242,_biploar_step,t2_bert,train,8.963205575942993,t2_bert_300__biploar_step_uniform
3,400,0.1300769843286499,0.26231460975773446,0.1413655000765977,0.1837208972273518,0.04008143890522519,0.05647271995168109,0.9599185610947748,0.4513623135357527,0.6495858216143325,0.01897564075126247,0.11306709586560708,0.02764464738295258,0.19260867081738733,_biploar_step,t2_bert,train,9.13119888305664,t2_bert_400__biploar_step_uniform
4,500,0.14438454595620426,0.28649922823971535,0.155716190174903,0.201768488622484,0.039765267668017364,0.0665391584457419,0.9602347323319826,0.3512153559314558,0.661925601750547,0.019934368336631317,0.12171813700834926,0.028628096375126654,0.20562494689438354,_biploar_step,t2_bert,train,9.57465147972107,t2_bert_500__biploar_step_uniform
5,1000,0.18319063222457754,0.34939337724217934,0.1970953352128127,0.2520227892697988,0.038391411484813856,0.08556472719951681,0.9616085885151862,0.538500016431586,0.7064220183486238,0.029447563188650494,0.15749589243201556,0.04370322130391119,0.25756744900197415,_biploar_step,t2_bert,train,12.29167914390564,t2_bert_1000__biploar_step_uniform
6,2000,0.2735807077928236,0.48093081001275073,0.29535037449833207,0.3659578453766431,0.03511343883717039,0.13378296758606806,0.9648865611628296,0.875588883628242,0.7698793894759313,0.0657808329162831,0.24186030915736176,0.10224082040033254,0.3680853235354154,_biploar_step,t2_bert,train,20.32209348678589,t2_bert_2000__biploar_step_uniform
7,3000,0.37997326311015844,0.6004713649771041,0.4083732554589508,0.48613322836491796,0.030334007264849413,0.19448359170525467,0.9696659927351506,0.9494099811608058,0.8323343848580441,0.14561919361749665,0.353887938839151,0.22670599088185173,0.49662376773404227,_biploar_step,t2_bert,train,33.26856970787048,t2_bert_3000__biploar_step_uniform
8,4000,0.5190067575831271,0.722698453370893,0.553477300964984,0.6268684983620443,0.02349308251360387,0.29071874370847595,0.9765069174863962,0.9837744105864141,0.8917992077100455,0.3037597679958695,0.5057505951782182,0.44080590201410846,0.6454553235193428,_biploar_step,t2_bert,train,53.309956550598145,t2_bert_4000__biploar_step_uniform
9,5000,0.6828250215561446,0.8270471148541437,0.7200852029761365,0.7698687212555599,0.015079808425750801,0.44493658143748743,0.9849201915742491,0.9869726322173212,0.9277274956529493,0.6119197047493532,0.6977165275123227,0.7504115791331077,0.7964479828523311,_biploar_step,t2_bert,train,80.62860608100891,t2_bert_5000__biploar_step_uniform
10,10000,0.9605757624322249,0.9699912677640676,0.9764995797661395,0.9732345431269619,0.0020799246860263654,0.9344674854036642,0.9979200753139736,0.9709763390924633,0.9726630217362315,0.9776288720035107,0.9783053348087047,0.9740163133677725,0.9754760193249638,_biploar_step,t2_bert,train,354.6615991592407,t2_bert_10000__biploar_step_uniform
