,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.09004519350577125,0.19017180055029864,0.10021789723092113,0.1312623561330875,0.04100726768503107,0.034125226494866115,0.958992732314969,0.16847491061497127,0.6134072580645161,0.010594858289143933,0.08161486101331188,0.014464719632986294,0.1440620283507443,_bipolar_sigmoid,t2_bert,train,11.76277208328247,t2_bert_100__bipolar_sigmoid_uniform
1,200,0.11388875218749708,0.23439702033420576,0.12305581211457285,0.16138585612463954,0.040519541650952624,0.049828870545600965,0.9594804583490474,0.20325434249760752,0.6348655680832611,0.013184476540920182,0.09817925761995774,0.01785798814314709,0.17005953245244662,_bipolar_sigmoid,t2_bert,train,15.845421552658081,t2_bert_200__bipolar_sigmoid_uniform
2,300,0.13432665466650315,0.27014965438561167,0.14552114687317547,0.18915202806901577,0.04008002109698659,0.06019730219448359,0.9599199789030134,0.34864825918404535,0.6500579374275782,0.017377380449350294,0.11286590886228749,0.024490907273174743,0.19233736178966312,_bipolar_sigmoid,t2_bert,train,19.260250091552734,t2_bert_300__bipolar_sigmoid_uniform
3,400,0.1454943109191012,0.28667539091336147,0.15658477711576815,0.20254020292567526,0.03981914438108417,0.0678477954499698,0.9601808556189159,0.28530726620728547,0.6597426470588236,0.017954597951601408,0.12034335915233209,0.024818107475430774,0.20355613532597908,_bipolar_sigmoid,t2_bert,train,23.952648162841797,t2_bert_400__bipolar_sigmoid_uniform
4,500,0.15160666147489682,0.2993591034158782,0.1627955187554592,0.21090050038140468,0.03954834300751155,0.06986108314878196,0.9604516569924885,0.37627180924298115,0.6700758243695997,0.01975613699689853,0.12741843543573753,0.027641905746181465,0.214120696455739,_bipolar_sigmoid,t2_bert,train,28.487478494644165,t2_bert_500__bipolar_sigmoid_uniform
5,1000,0.19686568960843182,0.37266794174887585,0.21195406735876096,0.2702207060198077,0.03807949367232183,0.09381920676464667,0.9619205063276781,0.5591486806662539,0.7097778406678931,0.031887284728425315,0.16819233477517354,0.047260245664407806,0.2719436161561399,_bipolar_sigmoid,t2_bert,train,53.001959800720215,t2_bert_1000__bipolar_sigmoid_uniform
6,2000,0.2912412181823159,0.5058686900643818,0.3140268372005704,0.38750386969333583,0.034373342936621136,0.14183611838131668,0.9656266570633789,0.8461587342202348,0.7809447074227012,0.07557207765645274,0.2600006706233444,0.11804243746857455,0.3901187361642182,_bipolar_sigmoid,t2_bert,train,93.66355299949646,t2_bert_2000__bipolar_sigmoid_uniform
7,3000,0.3980574315338616,0.6227177945871332,0.4285215018494283,0.5076826284355809,0.029429445608622543,0.2021340849607409,0.9705705543913774,0.965456831948974,0.8408783275680554,0.16202360018614448,0.37494551185326763,0.2512801816629219,0.5186336123930335,_bipolar_sigmoid,t2_bert,train,139.85973191261292,t2_bert_3000__bipolar_sigmoid_uniform
8,4000,0.5393151809096635,0.7360778384535203,0.5733897882596646,0.6446276445839009,0.022537479760787394,0.3129655727803503,0.9774625202392127,0.9841167981325581,0.8952267438560645,0.34922500003336526,0.5288871005599705,0.49781114001235266,0.6649382403777243,_bipolar_sigmoid,t2_bert,train,195.2330620288849,t2_bert_4000__bipolar_sigmoid_uniform
9,5000,0.6974509113892746,0.8370740828864471,0.7316604441815586,0.7808255440673658,0.014387918005313945,0.4701026776726394,0.9856120819946861,0.9872464228897968,0.9334273251971626,0.6359079938697902,0.7103913087214566,0.7692039553892781,0.8067783701447067,_bipolar_sigmoid,t2_bert,train,273.71829438209534,t2_bert_5000__bipolar_sigmoid_uniform
10,10000,0.9527110586665491,0.967631367022347,0.9591438377853724,0.9633689084346907,0.0020799246860263654,0.93376283470908,0.9979200753139736,0.9931624256091522,0.9872834753918064,0.9544194014222147,0.9632163095597358,0.9731112091906083,0.9751014104109031,_bipolar_sigmoid,t2_bert,train,758.8043653964996,t2_bert_10000__bipolar_sigmoid_uniform
